asset_line_item_id,account_id,subscription_id,product,product_name,quantity,net_price,list_price,arr,mrr,tcv,price_type,status,start_date,end_date,selling_term,asset_version,current_order_line_item
ALI-001,CUST-001,SUB-001,PROD-101,Conga CPQ — Professional,50,540.00,600.00,34200.00,2850.00,34200.00,Recurring,Active,2024-12-01,2026-07-20,7,v3,OLI-1001
ALI-002,CUST-001,SUB-002,PROD-202,Conga CPQ — Enterprise,200,480.00,740.00,115200.00,9600.00,115200.00,Recurring,Active,2023-01-15,2026-06-15,41,v6,OLI-2002
ALI-003,CUST-001,SUB-003,PROD-303,Conga CLM — Business,120,600.00,650.00,86400.00,7200.00,259200.00,Recurring,Active,2021-03-25,2027-03-25,72,v4,OLI-3003
ALI-004,CUST-001,SUB-004,PROD-101,Conga CPQ — Professional,30,420.00,500.00,15120.00,1260.00,15120.00,Recurring,Active,2025-11-05,2026-11-05,12,v1,OLI-4004
ALI-005,CUST-001,SUB-005,PROD-101,Conga CPQ — Professional,40,360.00,530.00,17280.00,1440.00,17280.00,Recurring,Active,2026-03-20,2026-06-20,3,v2,OLI-5005
ALI-006,CUST-001,SUB-006,PROD-404,Conga Revenue — Standard,80,580.00,630.00,55680.00,4640.00,55680.00,Recurring,Active,2020-08-15,2026-08-15,12,v8,OLI-6006
ALI-007,CUST-001,SUB-007,PROD-101,Conga CPQ — Professional,60,490.00,630.00,35280.00,2940.00,35280.00,Recurring,Active,2023-09-05,2026-07-05,12,v3,OLI-7007
ALI-008,CUST-001,SUB-008,PROD-202,Conga CPQ — Enterprise,150,520.00,600.00,93600.00,7800.00,93600.00,Recurring,Active,2022-05-20,2026-08-20,12,v5,OLI-8008
ALI-009,CUST-001,SUB-009,PROD-202,Conga CPQ — Enterprise,300,460.00,740.00,165600.00,13800.00,165600.00,Recurring,Active,2025-03-01,2026-06-01,15,v4,OLI-9009
ALI-010,CUST-001,SUB-010,PROD-505,Conga CLM — Enterprise,200,610.00,630.00,146400.00,12200.00,1024800.00,Recurring,Active,2019-07-10,2028-07-10,108,v9,OLI-0010
