dispute_id,invoice_id,customer_id,dispute_type,raised_at,resolved_at,amount_disputed,amount_credited,resolution,notes
BD-001,INV-001,CUST-001,dispute,2025-07-15T00:00:00Z,2025-08-10T00:00:00Z,850.00,425.00,partial,"Customer disputed line item fee; partial credit issued"
BD-002,INV-003,CUST-001,dispute,2025-08-10T00:00:00Z,2025-09-05T00:00:00Z,9600.00,0.00,rejected,"Dispute rejected; contract terms upheld"
BD-003,INV-003,CUST-001,credit_note,2025-11-20T00:00:00Z,,2400.00,2400.00,pending,"Credit note issued for SLA breach in Q3"
BD-004,INV-003,CUST-001,chargeback,2026-02-05T00:00:00Z,,9600.00,0.00,pending,"Chargeback filed via bank; under review"
BD-005,INV-007,CUST-001,dispute,2026-04-12T00:00:00Z,,1440.00,0.00,pending,"Customer disputes billing; claims service not delivered"
BD-006,INV-007,CUST-001,dispute,2026-05-10T00:00:00Z,,1440.00,0.00,pending,"Second dispute filed; escalated to billing team"
BD-007,INV-010,CUST-001,credit_note,2026-01-15T00:00:00Z,2026-02-01T00:00:00Z,1200.00,1200.00,upheld,"Credit note for implementation delay in Q4 2025"
BD-008,INV-012,CUST-001,dispute,2026-03-20T00:00:00Z,,2600.00,0.00,pending,"Customer disputes usage-based overage charges"
BD-009,INV-014,CUST-001,dispute,2025-09-05T00:00:00Z,2025-10-01T00:00:00Z,13800.00,3000.00,partial,"Partial credit for service outage period"
BD-010,INV-014,CUST-001,credit_note,2026-01-20T00:00:00Z,2026-02-15T00:00:00Z,5000.00,5000.00,upheld,"Credit note for missed SLA commitments Q4"
BD-011,INV-014,CUST-001,chargeback,2026-03-15T00:00:00Z,,13800.00,0.00,pending,"Chargeback 1 — filed March 2026"
BD-012,INV-014,CUST-001,dispute,2026-04-05T00:00:00Z,,13800.00,0.00,pending,"Formal escalation; customer threatening legal action"
BD-013,INV-014,CUST-001,chargeback,2026-05-08T00:00:00Z,,13800.00,0.00,pending,"Chargeback 2 — filed May 2026; bank involved"
