renewal_id,subscription_id,customer_id,renewal_number,due_date,renewed_at,renewal_status,days_late,negotiation_flag,negotiation_notes
REN-001,SUB-002,CUST-001,1,2024-01-15,2024-01-22T00:00:00Z,late,7,false,
REN-002,SUB-002,CUST-001,2,2025-01-15,2025-02-28T00:00:00Z,negotiated,44,true,"Customer threatened to cancel; 15% discount extended to retain account"
REN-003,SUB-003,CUST-001,1,2022-03-25,2022-03-24T00:00:00Z,on_time,0,false,
REN-004,SUB-003,CUST-001,2,2023-03-25,2023-03-25T00:00:00Z,on_time,0,false,
REN-005,SUB-003,CUST-001,3,2024-03-25,2024-03-23T00:00:00Z,on_time,0,false,
REN-006,SUB-003,CUST-001,4,2025-03-25,2025-03-26T00:00:00Z,on_time,1,false,
REN-007,SUB-006,CUST-001,1,2021-08-15,2021-08-15T00:00:00Z,on_time,0,false,
REN-008,SUB-006,CUST-001,2,2022-08-15,2022-08-14T00:00:00Z,on_time,0,false,
REN-009,SUB-006,CUST-001,3,2023-08-15,2023-08-16T00:00:00Z,on_time,1,false,
REN-010,SUB-006,CUST-001,4,2024-08-15,2024-08-15T00:00:00Z,on_time,0,false,
REN-011,SUB-006,CUST-001,5,2025-08-15,2025-08-15T00:00:00Z,on_time,0,false,
REN-012,SUB-007,CUST-001,1,2024-09-05,2024-09-27T00:00:00Z,negotiated,22,true,"Renewal required commercial escalation; annual rate locked after 2 rounds of negotiation"
REN-013,SUB-008,CUST-001,1,2023-05-20,2023-05-28T00:00:00Z,late,8,false,
REN-014,SUB-008,CUST-001,2,2024-05-20,2024-05-20T00:00:00Z,on_time,0,false,
REN-015,SUB-009,CUST-001,1,2026-03-01,2026-04-15T00:00:00Z,negotiated,45,true,"Multi-round negotiation; 25% discount applied; VP CS escalated to retain account"
REN-016,SUB-010,CUST-001,1,2020-07-10,2020-07-10T00:00:00Z,on_time,0,false,
REN-017,SUB-010,CUST-001,2,2021-07-10,2021-07-09T00:00:00Z,on_time,0,false,
REN-018,SUB-010,CUST-001,3,2022-07-10,2022-07-10T00:00:00Z,on_time,0,false,
REN-019,SUB-010,CUST-001,4,2023-07-10,2023-07-08T00:00:00Z,on_time,0,false,
REN-020,SUB-010,CUST-001,5,2024-07-10,2024-07-10T00:00:00Z,on_time,0,false,
REN-021,SUB-010,CUST-001,6,2025-07-10,2025-07-10T00:00:00Z,on_time,0,false,
