subscription_id,customer_id,contract_type,activated_at,expires_at,status,license_count,active_user_count,net_unit_price,list_unit_price,total_arr,renewal_date
SUB-001,CUST-001,monthly,2024-12-01T00:00:00Z,2026-07-20T00:00:00Z,active,50,16,540,600,34200,2026-07-20
SUB-002,CUST-001,monthly,2023-01-15T00:00:00Z,2026-06-15T00:00:00Z,active,200,48,480,740,115200,2026-06-15
SUB-003,CUST-001,multi_year,2021-03-25T00:00:00Z,2027-03-25T00:00:00Z,active,120,102,600,650,86400,2026-12-01
SUB-004,CUST-001,annual,2025-11-05T00:00:00Z,2026-11-05T00:00:00Z,active,30,19,420,500,15120,2026-11-05
SUB-005,CUST-001,monthly,2026-03-20T00:00:00Z,2026-06-20T00:00:00Z,active,40,8,360,530,17280,2026-06-20
SUB-006,CUST-001,annual,2020-08-15T00:00:00Z,2026-08-15T00:00:00Z,active,80,70,580,630,55680,2026-08-15
SUB-007,CUST-001,annual,2023-09-05T00:00:00Z,2026-07-05T00:00:00Z,active,60,26,490,630,35280,2026-07-05
SUB-008,CUST-001,annual,2022-05-20T00:00:00Z,2026-08-20T00:00:00Z,active,150,90,520,600,93600,2026-08-20
SUB-009,CUST-001,monthly,2025-03-01T00:00:00Z,2026-06-01T00:00:00Z,active,300,55,460,740,165600,2026-06-01
SUB-010,CUST-001,multi_year,2019-07-10T00:00:00Z,2028-07-10T00:00:00Z,active,200,191,610,630,146400,2027-01-15
